,MI Scores
PC1,0.058877953442984854
PC6,0.027462188971238533
PC13,0.02644246393251226
PC4,0.02642834115839321
PC3,0.026047514748158918
PC28,0.02283649024682788
PC27,0.019974484721339003
PC2,0.018842184099813863
PC31,0.018766652464999645
PC299,0.01828664333379848
PC24,0.017762488644875063
PC38,0.017727258276580393
PC11,0.017339453146531625
PC362,0.016921204607582396
PC26,0.016881811660883983
PC460,0.016807105934229405
PC80,0.016460430204112697
PC104,0.01635103982277908
PC807,0.016152317367659208
PC372,0.015972921608256918
PC221,0.015751642783515152
PC78,0.01567799515572066
PC5,0.015644941539181723
PC29,0.015533160765370368
PC163,0.015502406820769643
PC25,0.015405477675193069
PC19,0.015404492874504072
PC77,0.015352618160922482
PC105,0.015331663398808537
PC308,0.015308492263605089
PC811,0.015303237192680896
PC33,0.015270127148420798
PC48,0.015258601739677857
PC74,0.014980352300326238
PC17,0.014940233750347254
PC311,0.014934726429824963
PC230,0.014880834028224932
PC57,0.014792292423506659
PC135,0.014783262213765802
PC172,0.01475386422806757
PC169,0.014574167103678093
PC22,0.014530557203160654
PC285,0.014515988893053056
PC329,0.014474083932019433
PC251,0.014433226699035018
PC140,0.014307933578256993
PC56,0.014257096825106785
PC167,0.014205882591724617
PC346,0.01418919146801123
PC231,0.014153938145837763
PC81,0.014075909535264941
PC12,0.01406603837174103
PC14,0.014011494510398848
PC18,0.01394121536027182
PC365,0.0139205811314973
PC261,0.013877539559688401
PC67,0.013812690060702515
PC147,0.013780174856523608
PC165,0.01372502884952631
PC337,0.013639461716664414
PC9,0.013615769853468684
PC145,0.013548336299720631
PC255,0.013512612410046643
PC175,0.013511240570854177
PC224,0.013510761175547614
PC72,0.013503934155880692
PC170,0.013489973411231482
PC161,0.01347648001343238
PC75,0.013475266940225161
PC355,0.013425756442599912
PC82,0.013408272214459949
PC168,0.013397005676235807
PC252,0.013365156773434528
PC177,0.013354250135085621
PC258,0.013309125182668247
PC286,0.013263677449828037
PC333,0.013227957508662236
PC317,0.013191134906813673
PC138,0.013185596567995006
PC32,0.013175948014533034
PC275,0.013172108210082634
PC61,0.013168155818436666
PC348,0.01315175349119091
PC130,0.013128966894003113
PC62,0.013128703481868342
PC187,0.013093108155149302
PC40,0.013007338497011744
PC359,0.01297218583807247
PC459,0.012936279450661559
PC30,0.012886995039628424
PC828,0.012869867530583612
PC7,0.012856919165050051
PC95,0.012849808754823222
PC58,0.012799370297350343
PC128,0.012790986010892347
PC217,0.012771886918305775
PC63,0.012755659920037132
PC192,0.012748547345236894
PC20,0.012725314640261054
PC263,0.01271853000069445
PC305,0.012698337283319816
PC197,0.012677765907024963
PC156,0.012623187642397227
PC349,0.0126186656593541
PC49,0.012607419970915856
PC195,0.012601208415431664
PC456,0.012594879514462143
PC114,0.012575993040823796
PC126,0.012557245210912171
PC164,0.012544009908968867
PC51,0.012469079617488887
PC155,0.012428781239531617
PC96,0.012407594491351759
PC350,0.01240413710880528
PC340,0.012387760029350048
PC339,0.01232461925676187
PC42,0.012318655195930894
PC69,0.012305087532977765
PC45,0.012231167997491355
PC87,0.012224558029581445
PC116,0.012215440006437817
PC71,0.012205229942920504
PC265,0.012188670501664944
PC302,0.01218399363467082
PC35,0.012174681277333121
PC148,0.012134878990787357
PC94,0.012124371580991777
PC336,0.012104327263037895
PC223,0.012091797694111506
PC143,0.012061017684973585
PC283,0.012056847605430576
PC129,0.012047886652597484
PC183,0.012016067803370056
PC193,0.011980348502187432
PC41,0.011961505328313748
PC15,0.011931713398396049
PC447,0.011925204296129976
PC463,0.011901531936916676
PC21,0.011897171365162329
PC284,0.011890575389619684
PC79,0.011840467472477023
PC157,0.011814550454174011
PC125,0.011807849708758589
PC812,0.011804494093464513
PC64,0.011780967155338828
PC111,0.011741405012878126
PC107,0.011732875239863993
PC366,0.011729360926294063
PC102,0.011728608143765307
PC262,0.011720755308206598
PC98,0.011686305382028195
PC297,0.011662771851200127
PC179,0.011635204819918421
PC245,0.011630550179839716
PC120,0.011608753404938277
PC334,0.01158240296097457
PC296,0.011573509928171077
PC249,0.011571418388850674
PC65,0.011555634954635963
PC139,0.011540143528084634
PC39,0.011532539192458557
PC295,0.011492174334423844
PC152,0.011483524654830823
PC108,0.011468967164507404
PC225,0.011446882558290739
PC335,0.011438042721250596
PC50,0.011428265148204275
PC55,0.011407650610973263
PC101,0.011407163000813014
PC430,0.011400994736832537
PC213,0.011381222619239573
PC181,0.011365981988251228
PC388,0.01134662048530366
PC238,0.011331717118260975
PC341,0.011315909874332064
PC123,0.011297785354251744
PC115,0.011290195540768266
PC166,0.011280614764664243
PC368,0.011266211783944158
PC242,0.011262104365543202
PC88,0.011228761864129133
PC34,0.011201957364702864
PC66,0.011193765601013261
PC46,0.011174149968734781
PC725,0.011160080093765679
PC121,0.01112330567988451
PC16,0.011119474924895734
PC185,0.011112963501265227
PC318,0.011111177671448758
PC256,0.011102385054522657
PC328,0.011087929865293056
PC70,0.01108720878497138
PC290,0.011080017406842835
PC76,0.011061836327313834
PC176,0.01105820849641237
PC289,0.01104394408181264
PC793,0.011025837902145064
PC347,0.011009073890353882
PC416,0.01099721170479917
PC83,0.010995005331001728
PC219,0.010994624323550362
PC99,0.010993703082572637
PC824,0.010983427239925625
PC267,0.010956232117194098
PC405,0.010946570441679349
PC218,0.01093567097102266
PC202,0.01093213562092199
PC292,0.010911031958840134
PC428,0.010903916938900693
PC227,0.010902501770789996
PC150,0.010887014336157463
PC345,0.010879364506584999
PC188,0.01087265830873907
PC10,0.010840098665845233
PC158,0.010826153602580213
PC190,0.010813780760845049
PC319,0.010784720635695244
PC324,0.010760616029320325
PC47,0.010752423509646114
PC310,0.010741753469734938
PC209,0.010729535725191752
PC393,0.010728952490243415
PC563,0.01070753238294131
PC232,0.010701096098703289
PC273,0.01068993683400521
PC429,0.010684296076896693
PC241,0.010680881147460575
PC282,0.010679659535461461
PC779,0.010674863244982014
PC159,0.010661835501792005
PC397,0.010657680206668907
PC291,0.010640336954830687
PC279,0.010637790343859699
PC373,0.010631450975363776
PC270,0.010617853791341503
PC751,0.01060254612975875
PC149,0.010596499156024564
PC68,0.01058640286631718
PC446,0.010582649671352584
PC207,0.010582124184775665
PC637,0.010554916095374622
PC288,0.01055308640769681
PC272,0.010545672068369427
PC236,0.01053498501691319
PC52,0.010520197292515299
PC171,0.010495484768661356
PC309,0.010494849446130772
PC303,0.010490626108896173
PC160,0.010484698970892659
PC810,0.010469091139762021
PC43,0.010467424016907145
PC191,0.010466117865307822
PC248,0.010456303526997779
PC8,0.010439542661544898
PC590,0.010430310402916199
PC118,0.010391282678181568
PC802,0.010390360162509715
PC800,0.010373036826939241
PC815,0.010347499878399447
PC550,0.010340437275170977
PC464,0.010309404149588808
PC91,0.01029191686028863
PC36,0.010261000137640863
PC228,0.010229771929716414
PC424,0.010222295196473219
PC425,0.01020533745358243
PC821,0.010180170027474844
PC144,0.010163999647063271
PC344,0.010160971293935006
PC266,0.010148633766493553
PC37,0.010144185221315993
PC451,0.010134294747283334
PC214,0.01012195751213163
PC581,0.010104817545674827
PC494,0.01009729231737122
PC233,0.010074379904264852
PC501,0.01006083086815579
PC281,0.010059573035815284
PC182,0.010039433626410244
PC141,0.010034861800820138
PC820,0.010025940562134572
PC650,0.010023655786797647
PC632,0.01001299774230624
PC90,0.010001510316655526
PC298,0.009975031894425612
PC696,0.009969433485977675
PC113,0.009946622400605065
PC300,0.009934619711743586
PC211,0.009925291960705351
PC133,0.009923056277320264
PC773,0.00991010285928784
PC294,0.009909778731653773
PC439,0.009901086848598695
PC399,0.009889296483697407
PC790,0.009870621493156762
PC766,0.009828762057884077
PC638,0.009827294281380183
PC200,0.009826040406018421
PC426,0.009824167048635424
PC257,0.009822451915010966
PC186,0.009813272140053897
PC124,0.009810815097489822
PC342,0.009802155426291037
PC380,0.009792772385541326
PC134,0.009775373821539368
PC383,0.009774995710312595
PC367,0.009769031507301129
PC235,0.009762723701234322
PC312,0.009745496664887554
PC361,0.00974237075626938
PC237,0.009701005049302047
PC357,0.009663153195702101
PC240,0.009655470011616707
PC307,0.009638773902853615
PC511,0.009615338758655945
PC762,0.009604819934249775
PC253,0.009601801818807765
PC277,0.009583343141239986
PC455,0.00958156278884914
PC673,0.009569475529532134
PC370,0.009569158063116312
PC748,0.00955434673237665
PC436,0.009542628688590682
PC640,0.009537685661667794
PC356,0.009535397219842423
PC466,0.009529424383235785
PC733,0.009502991095406088
PC178,0.009497533256012325
PC376,0.009496959438962449
PC576,0.009451221116200337
PC533,0.00944802025459257
PC250,0.009444519807010998
PC534,0.009404263562612591
PC386,0.009397952401559273
PC559,0.009384118452575585
PC661,0.00937290859916562
PC323,0.009363816387372381
PC556,0.00933547004235269
PC106,0.00927547511967397
PC727,0.009263800144078793
PC268,0.009263282485786561
PC293,0.009236835523084963
PC417,0.009234328973276362
PC483,0.009230380266394
PC457,0.009221893290008332
PC146,0.009220670888351101
PC535,0.009220354980874923
PC389,0.00921791992768739
PC825,0.009209656713951908
PC502,0.009209627790644603
PC803,0.009206343130769845
PC89,0.009205404079123625
PC715,0.0092050919993234
PC692,0.009186804165391749
PC589,0.00918347536926678
PC321,0.009182340257952504
PC542,0.009171040702478983
PC97,0.009166436248451149
PC694,0.009163649771771532
PC612,0.009159470057921837
PC142,0.009145065808983333
PC198,0.009115609602620367
PC623,0.009111863363294503
PC663,0.009099078829960305
PC578,0.009099069662896753
PC392,0.009097090852866252
PC664,0.009096897024984507
PC327,0.00908207563393848
PC151,0.009074185153686187
PC196,0.00906185672456683
PC137,0.009052995945658893
PC201,0.009050299497826764
PC269,0.009046811401249855
PC680,0.009030636181648788
PC678,0.00902059325689386
PC580,0.009003278070555787
PC546,0.009001463090711148
PC586,0.008981349121786941
PC698,0.008979767130822935
PC770,0.008976975900147899
PC473,0.008974031108504477
PC379,0.008973856990007967
PC829,0.008969572409008642
PC271,0.008968905040352304
PC626,0.008963905990142074
PC791,0.008948735475126313
PC402,0.008944016538618982
PC620,0.008937078298749235
PC477,0.008930024053937835
PC415,0.00890476639506943
PC23,0.008903534049796491
PC472,0.00889025014195699
PC774,0.00887054208327509
PC53,0.008858177163929781
PC711,0.008852489026009991
PC304,0.008850203151256508
PC360,0.008833364983253489
PC226,0.008831931143992833
PC278,0.00882901905676814
PC247,0.008811404794260902
PC454,0.00880547010894972
PC326,0.008800642903168843
PC411,0.008792485910179337
PC215,0.008790631278328576
PC695,0.008789300433712732
PC84,0.008785581599990877
PC830,0.008774427653650108
PC444,0.008767796742964684
PC254,0.008767534533051347
PC813,0.008765964093463197
PC363,0.008765209903712545
PC450,0.008749335953391224
PC301,0.00874764139955353
PC752,0.008743165463758196
PC85,0.008730611949904876
PC246,0.008721955822490912
PC448,0.00871986934415947
PC665,0.008716976093009698
PC122,0.00870968063345856
PC583,0.008703108963930006
PC208,0.00869676378072537
PC700,0.00869379365312195
PC745,0.008687419301893762
PC86,0.008685833948389288
PC461,0.008670039270879393
PC378,0.008665773449946457
PC264,0.008649021434408155
PC538,0.008638368205489577
PC331,0.008638057400836452
PC647,0.008637937926788908
PC204,0.008618940495821903
PC572,0.008617138079969777
PC786,0.008614870462133162
PC717,0.008612266349055986
PC622,0.008603753899404154
PC816,0.008583626036366532
PC44,0.008581329206121424
PC199,0.008580480998122475
PC419,0.008575426820681464
PC173,0.008564340215929
PC722,0.008540485149038268
PC420,0.00853605947090319
PC377,0.00853097645719103
PC547,0.008525389871208766
PC364,0.008524142364782605
PC628,0.008513515837406338
PC789,0.00850997606427395
PC781,0.008509643555226098
PC701,0.008507136574556817
PC338,0.008504054574256514
PC381,0.008493559604550782
PC676,0.008490898602710573
PC759,0.008489759304728395
PC697,0.008483336880435566
PC59,0.008477852413432352
PC330,0.008473140422283976
PC524,0.008467312168092711
PC391,0.008461289839169162
PC555,0.008453721086985944
PC205,0.008443392082172707
PC458,0.008419675093410461
PC512,0.008418797003813872
PC732,0.00841848956989022
PC747,0.008388219731646274
PC530,0.008382129277736183
PC387,0.008367931365898862
PC709,0.008363428985085797
PC210,0.008361572975347897
PC615,0.00835321622479146
PC260,0.008331776240123823
PC595,0.008330586737497647
PC351,0.008297634340425297
PC618,0.008295229080614419
PC189,0.008288896071410257
PC693,0.008285902940097678
PC452,0.008282918548718321
PC313,0.008249545102767541
PC398,0.008245565479584549
PC154,0.008243567594883316
PC719,0.008239526665946961
PC433,0.008235635165276811
PC708,0.008230082039880848
PC354,0.008219818485372343
PC772,0.00819190577550355
PC787,0.008172400650371614
PC667,0.008167628094332358
PC482,0.008164604385638263
PC539,0.008156012523856226
PC432,0.008149846621829937
PC92,0.00814770738353321
PC229,0.00814035997045881
PC643,0.008135107795415486
PC449,0.00813117128003249
PC332,0.008111328609311741
PC713,0.008105076285654711
PC549,0.008102384549420805
PC505,0.008091366020905433
PC670,0.008084942449118948
PC705,0.008084182460089018
PC434,0.00806562463225724
PC634,0.008053768867015698
PC287,0.00805249467496072
PC574,0.00805159379326792
PC616,0.008041701729126771
PC660,0.008036772104417444
PC320,0.0080172475537994
PC212,0.008016678873311811
PC441,0.00801327019352538
PC644,0.008008967939237444
PC322,0.008002014607335184
PC655,0.007975622343397326
PC369,0.007974549583924073
PC343,0.007974194397274204
PC602,0.007963439392902671
PC621,0.007958555705057435
PC804,0.00795705657934409
PC470,0.007956767547662835
PC635,0.007947332558679854
PC801,0.00794668073194682
PC775,0.007945204361625713
PC490,0.007944927074052366
PC462,0.00794124430892662
PC395,0.007939530009717366
PC375,0.00793363107411782
PC754,0.007909316793830001
PC467,0.007907477677309593
PC306,0.00787256997524377
PC731,0.007863568355912953
PC220,0.007859012145183364
PC206,0.0078442898828337
PC796,0.00784099065585675
PC699,0.007840078844528087
PC826,0.007832445846596592
PC259,0.00783007409240355
PC645,0.007821557920442146
PC736,0.007814301102366805
PC726,0.007789414121714522
PC174,0.00778006062014569
PC566,0.007775987862927103
PC440,0.0077508753005863795
PC782,0.00774403336252405
PC784,0.00774041211698151
PC280,0.0077271919599226635
PC492,0.00772619578276057
PC769,0.007719711212441638
PC662,0.007713137721355068
PC604,0.007705721789090347
PC600,0.00769924040032155
PC315,0.007692247178214373
PC506,0.007691225426742498
PC603,0.007677981554701674
PC516,0.007675969581097064
PC194,0.007649917176776988
PC808,0.007646986984770621
PC771,0.007633540518601656
PC797,0.0076263698560854465
PC690,0.007618369664752933
PC243,0.007616849790217373
PC641,0.007615594155781835
PC672,0.007609986588565043
PC93,0.007604220364685332
PC520,0.0075923605600172195
PC723,0.007583862921269002
PC390,0.007573994060828149
PC735,0.0075622285826373314
PC687,0.007553197490592467
PC561,0.007552128748075759
PC316,0.007528372701327335
PC371,0.007517562207069339
PC479,0.007511347151234915
PC629,0.007504832397316363
PC496,0.007500388734131391
PC607,0.007499328775760539
PC131,0.0074946791637291454
PC110,0.007479359667721397
PC778,0.007448219138568746
PC767,0.007447796855672095
PC809,0.00741506429223282
PC119,0.007408742047059214
PC103,0.0074053146177393
PC531,0.007389596328827075
PC668,0.0073877738018088834
PC409,0.007376279776577732
PC532,0.00737538798234727
PC814,0.007366583191421583
PC60,0.007365457595645886
PC619,0.007361352370017116
PC560,0.007352634531644142
PC714,0.007343256653805419
PC679,0.007340443151212739
PC716,0.007322687830543018
PC521,0.0073174200751164875
PC785,0.007308988739159972
PC274,0.007293637346521997
PC671,0.007271573144468135
PC548,0.007270633003762406
PC710,0.007265950539865784
PC234,0.0072477659795833205
PC675,0.00723948547923392
PC216,0.007238454501020897
PC529,0.007215112782832378
PC437,0.007214505797102255
PC374,0.007199936347042524
PC478,0.007192217865861217
PC642,0.007189974574613345
PC730,0.0071697757307234156
PC418,0.0071683666369262156
PC768,0.007167470130016618
PC54,0.007156611021289727
PC718,0.0071529959480267635
PC493,0.007140925153622746
PC403,0.007136398726454551
PC523,0.007133564570846573
PC624,0.007133288983123265
PC666,0.007130103558965928
PC571,0.0071267845082685355
PC688,0.007109256188110535
PC720,0.0071079788255969945
PC743,0.007097820779696562
PC431,0.00708495536781939
PC639,0.007081662101676933
PC385,0.0070806026535237265
PC427,0.007062070648908403
PC353,0.007058012066088359
PC469,0.007050519972872316
PC382,0.007041282039669916
PC860,0.0070245685610945685
PC73,0.007024485299560013
PC617,0.006984300748385408
PC806,0.006954122384212447
PC314,0.006953634109055251
PC481,0.006951313926620628
PC554,0.006948110385353701
PC863,0.006937448759579468
PC410,0.006928160268762085
PC703,0.006926981416131461
PC682,0.006904365478146879
PC276,0.006900777110554479
PC510,0.006898857936140423
PC543,0.006898283816572537
PC513,0.006892686052790253
PC575,0.006892270040378179
PC484,0.00688007065646179
PC384,0.006879880165544527
PC412,0.006852579936455605
PC584,0.006852305357173627
PC499,0.006846981224096105
PC850,0.006844518105130426
PC653,0.00684369869835777
PC514,0.00684151633360397
PC184,0.006839593169842395
PC685,0.00681386212496804
PC765,0.006798713866232653
PC480,0.006798194677621439
PC648,0.006796205975228453
PC649,0.006790684600638031
PC721,0.0067772424497967165
PC764,0.0067456900679907505
PC599,0.006736055351510117
PC593,0.006722159522309923
PC683,0.006708762405632562
PC746,0.006707580411929648
PC646,0.006705082776081284
PC691,0.006680217440202085
PC567,0.006670286844074447
PC394,0.006664350243502426
PC474,0.006657244589089117
PC570,0.00663855989873241
PC833,0.006628333829090671
PC611,0.006619026579027576
PC519,0.006617175492526606
PC761,0.006613162173821685
PC702,0.006596664958451015
PC325,0.006571339459598313
PC400,0.006554655758832517
PC777,0.006548564151708902
PC162,0.006535432415339493
PC657,0.00652209529983061
PC487,0.006511953900351308
PC867,0.006501296816924018
PC557,0.006500564234747763
PC244,0.006500207040285311
PC509,0.006489422094157149
PC798,0.0064808779781850845
PC866,0.0064755291324010145
PC742,0.006471759490165319
PC614,0.0064663298522713575
PC739,0.006459196314921201
PC840,0.006453365409758938
PC545,0.006436487140405234
PC689,0.0064323646686874625
PC136,0.00642757024494145
PC222,0.006410051267323524
PC862,0.006404868643627104
PC598,0.006404071135774458
PC740,0.006401368361467874
PC763,0.006399855650268016
PC794,0.006394652243886689
PC669,0.006394479273535758
PC544,0.006384075900859543
PC737,0.006383616986846974
PC203,0.006366670534053931
PC485,0.006355856948061067
PC651,0.0063401472002748704
PC776,0.006339285636173031
PC659,0.0063235476097638355
PC352,0.006308692562955187
PC518,0.006303041816923205
PC677,0.006302649466777943
PC823,0.0062977950272449235
PC453,0.0062879370693975645
PC396,0.0062814415638827725
PC438,0.0062705614238973695
PC153,0.006269320602227957
PC525,0.006253720617045211
PC749,0.006249092417727198
PC495,0.006220312709154463
PC706,0.006203095317715679
PC445,0.0061895355621501835
PC500,0.0061711110836188965
PC498,0.0061573408579151945
PC613,0.006157084223425535
PC608,0.006137147857015357
PC795,0.006128059847598344
PC712,0.006127245282910643
PC750,0.006123093994317763
PC515,0.006113952256521671
PC358,0.00608807196305694
PC504,0.006075822343420079
PC596,0.006072085194553267
PC799,0.00605096206972533
PC728,0.006039022359851209
PC442,0.006029199234463434
PC724,0.006026701229693288
PC858,0.006015840814979079
PC817,0.006014763485142183
PC587,0.006014131476815621
PC180,0.00600961088017371
PC552,0.005995687839390307
PC528,0.00599374117634266
PC497,0.005938965088084558
PC585,0.005938659154446135
PC594,0.005925406895961771
PC792,0.00592425905555416
PC471,0.005907914675749026
PC476,0.005862605217137329
PC573,0.00584476265701106
PC537,0.005829334861938484
PC630,0.005825135708398044
PC846,0.0058228967117743835
PC783,0.005821701816862479
PC565,0.005816918895293455
PC729,0.005810846172033202
PC610,0.005806801410080276
PC633,0.005804464694559641
PC475,0.005772816781820289
PC734,0.0057618210221033195
PC834,0.005759005976285536
PC656,0.005739885010740409
PC109,0.005735066799600119
PC591,0.005710952300659322
PC684,0.005709038455864679
PC541,0.005704915945001332
PC422,0.005696354150635408
PC805,0.005687096538182779
PC756,0.005676798488077672
PC100,0.00566139436841695
PC577,0.00565775422333914
PC704,0.00565638474489738
PC443,0.0056490821414953984
PC631,0.00563463717740742
PC582,0.005630927701689714
PC780,0.005630442026242299
PC837,0.005627856848654744
PC625,0.00562625243419923
PC844,0.005614434991566775
PC486,0.005605921134707259
PC112,0.0055780881962039786
PC579,0.005561787558236553
PC835,0.005516473145782186
PC861,0.00551427549874095
PC822,0.005500770725041626
PC414,0.005493568325579012
PC423,0.005449833010215954
PC606,0.00542655142803028
PC757,0.005425240891830718
PC132,0.005398040688568528
PC831,0.005395536716321203
PC588,0.005381467825940511
PC508,0.005367909613094746
PC855,0.005353787784192043
PC857,0.005348129971431526
PC760,0.005339998810429236
PC404,0.0053321797850376385
PC413,0.005314714901745177
PC558,0.005271910330379548
PC468,0.005264467289348929
PC536,0.005255947598230115
PC540,0.0052397992223367496
PC864,0.00523027125064246
PC851,0.00522135508085686
PC652,0.0052065442981481524
PC741,0.005188630938636862
PC553,0.005160402969790923
PC127,0.005150810803803196
PC551,0.005138127769853007
PC605,0.005127096606175385
PC526,0.005121664208052934
PC753,0.005101009594040917
PC845,0.005084969821727903
PC854,0.005077119241897243
PC654,0.005046560001378708
PC674,0.004982098472995133
PC839,0.00497379600510417
PC239,0.004968456477350003
PC522,0.004956390859021553
PC686,0.004953385947279898
PC527,0.004941075208847678
PC865,0.004919068460109699
PC597,0.0049169896295078175
PC843,0.00490264114614547
PC489,0.004884869007859116
PC758,0.004874453600530515
PC491,0.0048614777135114196
PC517,0.004807026885824683
PC755,0.0047502578575526755
PC849,0.00474749783909445
PC827,0.004706108289896704
PC507,0.00466168421793256
PC407,0.004656308247410479
PC627,0.004637959020151072
PC406,0.004616703568226299
PC408,0.00461420431063253
PC859,0.00458883998544124
PC853,0.00457816625183316
PC707,0.00454848893087334
PC842,0.004541506792484995
PC738,0.004498983998225015
PC832,0.004381123381117291
PC848,0.0043261648829320265
PC868,0.0042809943962041075
PC503,0.004272692580039816
PC609,0.004193526483621923
PC117,0.004176564877353073
PC488,0.0041565131060705696
PC401,0.004133752938344948
PC562,0.004128903741084322
PC788,0.004122676227911626
PC856,0.004059327342449848
PC744,0.004051041702724412
PC601,0.004042362434567792
PC838,0.004027564580013632
PC568,0.004015371906576526
PC465,0.003982748392514779
PC841,0.003643802880313629
PC421,0.003616031963735722
PC852,0.003534937823359563
PC636,0.0035283779074646304
PC681,0.0033751771529972885
PC847,0.0033489067750389623
PC435,0.003323928703198753
PC569,0.003291356981758753
PC836,0.0032663220828554884
PC818,0.0032147578124019915
PC564,0.003127228161358353
PC592,0.0029839388860928295
PC658,0.0027277531003138122
PC819,0.002111089549433842
