Date,Open,High,Low,Close ,Adj_Close ,Volume,daily_returns,prct_returns
2023-03-01,23150.93,23880.63,23088.63,23646.55,23646.55,24662841200,-0.007234882,-0.007234882
2023-03-02,23647.02,23739.14,23245.02,23475.47,23475.47,20386398516,-0.047402246,-0.047402246
2023-03-03,23476.63,23479.35,22213.24,22362.68,22362.68,26062404610,-0.000417213,-0.000417213
2023-03-04,22362.92,22405.18,22198.98,22353.35,22353.35,11166012913,0.003675512,0.003675512
2023-03-05,22354.14,22613.69,22307.14,22435.51,22435.51,13317001733,-0.00025629,-0.00025629
2023-03-06,22436.82,22584.29,22331.31,22429.76,22429.76,17353192895,-0.009362115,-0.009362115
2023-03-07,22428.32,22527.42,22011.26,22219.77,22219.77,22765452204,-0.022578542,-0.022578542
2023-03-08,22216.44,22268.9,21708.05,21718.08,21718.08,22536575684,-0.062393177,-0.062393177
2023-03-09,21720.08,21802.72,20210.31,20363.02,20363.02,30364664171,-0.008632315,-0.008632315
2023-03-10,20367,20370.6,19628.25,20187.24,20187.24,39578257695,0.022052049,0.022052049
2023-03-11,20187.88,20792.53,20068.66,20632.41,20632.41,30180288176,0.074229816,0.074229816
2023-03-12,20628.03,22185.03,20448.81,22163.95,22163.95,29279035521,0.091751696,0.091751696
2023-03-13,22156.41,24550.84,21918.2,24197.53,24197.53,49466362688,0.022669256,0.022669256
2023-03-14,24201.77,26514.72,24081.18,24746.07,24746.07,54622230164,-0.014956314,-0.014956314
2023-03-15,24770.93,25240.62,23964.91,24375.96,24375.96,43655701450,0.027766291,0.027766291
2023-03-16,24373.46,25190.33,24225.11,25052.79,25052.79,33866061747,0.094645746,0.094645746
2023-03-17,25055.12,27787.81,24955.17,27423.93,27423.93,50730261335,-0.016702566,-0.016702566
2023-03-18,27448.12,27725.95,26636.26,26965.88,26965.88,35723036817,0.039783608,0.039783608
2023-03-19,26969.5,28440.56,26907.72,28038.68,28038.68,37769448859,-0.009680912,-0.009680912
2023-03-20,28041.6,28527.72,27242.88,27767.24,27767.24,44774027664,0.014714462,0.014714462
2023-03-21,27768.39,28439.56,27439.65,28175.82,28175.82,36102192830,-0.030820044,-0.030820044
2023-03-22,28158.72,28803.34,26760,27307.44,27307.44,33382021890,0.037591587,0.037591587
2023-03-23,27301.96,28729.84,27183.36,28333.97,28333.97,24220433689,-0.029670392,-0.029670392
2023-03-24,28324.11,28388.44,27039.27,27493.29,27493.29,25980310960,0.000051649,0.000051649
2023-03-25,27487.34,27791.83,27196.23,27494.71,27494.71,13383005987,0.018171496,0.018171496
2023-03-26,27495.52,28178.14,27445.05,27994.33,27994.33,13878363192,-0.030521895,-0.030521895
2023-03-27,27994.07,28037.93,26606.69,27139.89,27139.89,18188895178,0.004725148,0.004725148
2023-03-28,27132.89,27460.72,26677.82,27268.13,27268.13,17783600385,0.039618045,0.039618045
2023-03-29,27267.03,28619.54,27259.66,28348.44,28348.44,20684945906,-0.01110749,-0.01110749
2023-03-30,28350.14,29159.9,27720.16,28033.56,28033.56,22435349951,0.015870977,0.015870977
2023-03-31,28032.26,28639.9,27583.71,28478.48,28478.48,19001327598,-0.002368104,-0.002368104
2023-04-01,28473.33,28802.46,28297.17,28411.04,28411.04,10876469901,-0.007452385,-0.007452385
2023-04-02,28462.85,28518.96,27884.09,28199.31,28199.31,12284641999,-0.014507093,-0.014507093
2023-04-03,28183.08,28475.62,27276.72,27790.22,27790.22,19556501327,0.01359723,0.01359723
2023-04-04,27795.27,28433.74,27681.3,28168.09,28168.09,15284538859,0.000351107,0.000351107
2023-04-05,28169.73,28739.24,27843.76,28177.98,28177.98,17052315986,-0.004749808,-0.004749808
2023-04-06,28175.23,28178.38,27738.76,28044.14,28044.14,13837809380,-0.004217637,-0.004217637
2023-04-07,28038.97,28111.59,27794.03,27925.86,27925.86,10861680497,0.000785294,0.000785294
2023-04-08,27920.51,28159.86,27883.39,27947.79,27947.79,9373255556,0.01378499,0.01378499
2023-04-09,27952.37,28532.83,27828.48,28333.05,28333.05,12175322951,0.046586231,0.046586231
2023-04-10,28336.03,29771.46,28189.27,29652.98,29652.98,19282400094,0.01962973,0.01962973
2023-04-11,29653.68,30509.08,29609.3,30235.06,30235.06,20121259843,-0.003175453,-0.003175453
2023-04-12,30231.58,30462.48,29725.57,30139.05,30139.05,18651929926,0.008627346,0.008627346
2023-04-13,29892.74,30539.85,29878.62,30399.07,30399.07,17487721001,0.002849758,0.002849758
2023-04-14,30409.56,31005.61,30044.5,30485.7,30485.7,22659995079,-0.005484539,-0.005484539
2023-04-15,30490.75,30601.74,30245.88,30318.5,30318.5,11940685378,-0.000103567,-0.000103567
2023-04-16,30315.98,30555.54,30157.83,30315.36,30315.36,12854816417,-0.028708879,-0.028708879
2023-04-17,30317.15,30319.2,29275.37,29445.04,29445.04,17872186762,0.032348742,0.032348742
2023-04-18,29449.09,30470.3,29154.85,30397.55,30397.55,19480529496,-0.05180911,-0.05180911
2023-04-19,30394.19,30411.05,28669.9,28822.68,28822.68,24571565421,-0.020008202,-0.020008202
2023-04-20,28823.68,29076.4,28037.26,28245.99,28245.99,21340360360,-0.034308587,-0.034308587
2023-04-21,28249.23,28349.97,27177.37,27276.91,27276.91,20759504330,0.019818594,0.019818594
2023-04-22,27265.89,27872.14,27169.57,27817.5,27817.5,13125734602,-0.008128696,-0.008128696
2023-04-23,27816.14,27820.24,27400.31,27591.38,27591.38,12785446832,-0.002393501,-0.002393501
2023-04-24,27591.73,27979.98,27070.85,27525.34,27525.34,17703288330,0.028419631,0.028419631
2023-04-25,27514.87,28371.08,27207.93,28307.6,28307.6,17733373139,0.004066046,0.004066046
2023-04-26,28300.06,29995.84,27324.55,28422.7,28422.7,31854242019,0.036980653,0.036980653
2023-04-27,28428.46,29871.55,28402.89,29473.79,29473.79,27153445027,-0.004530466,-0.004530466
2023-04-28,29481.01,29572.79,28929.61,29340.26,29340.26,17544464887,-0.003127784,-0.003127784
2023-04-29,29336.57,29452.46,29088.04,29248.49,29248.49,10662634333,0.000694737,0.000694737
2023-04-30,29245.52,29952.03,29114.02,29268.81,29268.81,14652199272,-0.040221656,-0.040221656
2023-05-01,29227.1,29329.94,27680.79,28091.57,28091.57,18655599976,0.020966076,0.020966076
2023-05-02,28087.18,28881.3,27924.12,28680.54,28680.54,16432924527,0.011358573,0.011358573
2023-05-03,28680.49,29259.53,28178.39,29006.31,29006.31,19122972518,-0.005467776,-0.005467776
2023-05-04,29031.3,29353.19,28694.04,28847.71,28847.71,15548678514,0.023803276,0.023803276
2023-05-05,28851.48,29668.91,28845.51,29534.38,29534.38,17936566518,-0.021322946,-0.021322946
2023-05-06,29538.86,29820.13,28468.97,28904.62,28904.62,15913866714,-0.015555991,-0.015555991
2023-05-07,28901.62,29157.52,28441.37,28454.98,28454.98,11301355486,-0.026733809,-0.026733809
2023-05-08,28450.46,28663.27,27310.13,27694.27,27694.27,19122903752,-0.001281493,-0.001281493
2023-05-09,27695.07,27821.4,27375.6,27658.78,27658.78,14128593256,-0.001338454,-0.001338454
2023-05-10,27654.64,28322.69,26883.67,27621.76,27621.76,20656025026,-0.022481189,-0.022481189
2023-05-11,27621.09,27621.94,26781.83,27000.79,27000.79,16724343943,-0.00725164,-0.00725164
2023-05-12,26987.66,27055.65,25878.43,26804.99,26804.99,19313599897,-0.000780079,-0.000780079
2023-05-13,26807.77,27030.48,26710.87,26784.08,26784.08,9999171605,0.005471907,0.005471907
2023-05-14,26788.97,27150.98,26661.36,26930.64,26930.64,10014858959,0.009730552,0.009730552
2023-05-15,26931.38,27646.35,26766.1,27192.69,27192.69,14413231792,-0.005738307,-0.005738307
2023-05-16,27171.51,27299.3,26878.95,27036.65,27036.65,12732238816,0.013394781,0.013394781
2023-05-17,27035.47,27465.93,26600.14,27398.8,27398.8,15140006925,-0.020679373,-0.020679373
2023-05-18,27401.65,27466.53,26415.1,26832.21,26832.21,15222938600,0.0021586,0.0021586
2023-05-19,26826.75,27128.62,26700.21,26890.13,26890.13,11258983301,0.008905126,0.008905126
2023-05-20,26888.84,27155.16,26843.28,27129.59,27129.59,7044911360,-0.013850559,-0.013850559
2023-05-21,27118.42,27265.92,26706.92,26753.83,26753.83,8647416921,0.003642469,0.003642469
2023-05-22,26749.89,27045.73,26549.73,26851.28,26851.28,11056770492,0.013945331,0.013945331
2023-05-23,26855.96,27434.68,26816.18,27225.73,27225.73,13697203143,-0.03272309,-0.03272309
2023-05-24,27224.6,27224.6,26106.58,26334.82,26334.82,16299104428,0.005368937,0.005368937
2023-05-25,26329.46,26591.52,25890.59,26476.21,26476.21,13851122697,0.009181072,0.009181072
2023-05-26,26474.18,26916.67,26343.95,26719.29,26719.29,12711619225,0.005578741,0.005578741
2023-05-27,26720.18,26888.88,26621.14,26868.35,26868.35,7892015141,0.045306094,0.045306094
2023-05-28,26871.16,28193.45,26802.75,28085.65,28085.65,14545229578,-0.012097637,-0.012097637
2023-05-29,28075.59,28432.04,27563.88,27745.88,27745.88,15181308984,-0.001568882,-0.001568882
2023-05-30,27745.12,28044.76,27588.5,27702.35,27702.35,13251081851,-0.017424154,-0.017424154
2023-05-31,27700.53,27831.68,26866.45,27219.66,27219.66,15656371534,-0.014683872,-0.014683872
2023-06-01,27218.41,27346.11,26671.72,26819.97,26819.97,14678970415,0.016018661,0.016018661
2023-06-02,26824.56,27303.86,26574.64,27249.59,27249.59,14837415000,-0.006402298,-0.006402298
2023-06-03,27252.32,27317.05,26958,27075.13,27075.13,8385597470,0.001622892,0.001622892
2023-06-04,27075.12,27407.02,26968.22,27119.07,27119.07,9360912318,-0.050111232,-0.050111232
2023-06-05,27123.11,27129.98,25445.17,25760.1,25760.1,21513292646,0.057401951,0.057401951
2023-06-06,25732.11,27313.82,25434.87,27238.78,27238.78,21929670693,-0.032776064,-0.032776064
2023-06-07,27235.65,27332.18,26146.99,26346,26346,19530045082,0.006157291,0.006157291
2023-06-08,26347.65,26797.51,26246.66,26508.22,26508.22,11904824295,-0.00105024,-0.00105024
2023-06-09,26505.92,26770.29,26339.31,26480.38,26480.38,11015551640,-0.023758722,-0.023758722
2023-06-10,26481.76,26531.04,25501.84,25851.24,25851.24,19872933189,0.003440067,0.003440067
2023-06-11,25854.03,26203.44,25668.99,25940.17,25940.17,10732609603,-0.001452188,-0.001452188
2023-06-12,25934.29,26087.92,25675.2,25902.5,25902.5,11677889997,0.00062658,0.00062658
2023-06-13,25902.94,26376.35,25728.37,25918.73,25918.73,14143474486,-0.030636146,-0.030636146
2023-06-14,25920.26,26041.8,24902.15,25124.68,25124.68,14265717766,0.017978736,0.017978736
2023-06-15,25121.67,25735.31,24797.17,25576.39,25576.39,15837384409,0.029365755,0.029365755
2023-06-16,25575.28,26463.17,25245.36,26327.46,26327.46,16324646965,0.006959274,0.006959274
2023-06-17,26328.68,26769.39,26174.49,26510.68,26510.68,11090276850,-0.006581121,-0.006581121
2023-06-18,26510.46,26675.93,26325.89,26336.21,26336.21,9565695129,0.019547991,0.019547991
2023-06-19,26335.44,26984.61,26312.83,26851.03,26851.03,12826986222,0.05498709,0.05498709
2023-06-20,26841.66,28388.97,26668.79,28327.49,28327.49,22211859147,0.060005669,0.060005669
2023-06-21,28311.31,30737.33,28283.41,30027.3,30027.3,33346760979,-0.003830514,-0.003830514
2023-06-22,29995.94,30496,29679.16,29912.28,29912.28,20653160491,0.026182892,0.026182892
2023-06-23,29896.38,31389.54,29845.21,30695.47,30695.47,24115570085,-0.004781487,-0.004781487
2023-06-24,30708.74,30804.15,30290.15,30548.7,30548.7,12147822496,-0.002240357,-0.002240357
2023-06-25,30545.15,31041.27,30327.94,30480.26,30480.26,12703464114,-0.006861162,-0.006861162
2023-06-26,30480.52,30636.03,29955.74,30271.13,30271.13,16493186997,0.013776493,0.013776493
2023-06-27,30274.32,31006.79,30236.65,30688.16,30688.16,16428827944,-0.019613753,-0.019613753
2023-06-28,30696.56,30703.28,29921.82,30086.25,30086.25,14571500779,0.011935685,0.011935685
2023-06-29,30086.19,30796.25,30057.2,30445.35,30445.35,13180860821,0.001047779,0.001047779
2023-06-30,30441.35,31256.86,29600.28,30477.25,30477.25,26387306197,0.003702106,0.003702106
2023-07-01,30471.85,30641.29,30328.87,30590.08,30590.08,9086606733,0.001003266,0.001003266
2023-07-02,30587.27,30766.14,30264.02,30620.77,30620.77,10533418042,0.017493682,0.017493682
2023-07-03,30624.52,31375.61,30586.51,31156.44,31156.44,15271884873,-0.012159926,-0.012159926
2023-07-04,31156.87,31325.2,30659.36,30777.58,30777.58,12810828427,-0.008558503,-0.008558503
2023-07-05,30778.72,30877.33,30225.61,30514.17,30514.17,12481622280,-0.019821283,-0.019821283
2023-07-06,30507.15,31460.05,29892.23,29909.34,29909.34,21129219509,0.014474743,0.014474743
2023-07-07,29908,30434.64,29777.29,30342.27,30342.27,13384770155,-0.001638968,-0.001638968
2023-07-08,30346.92,30374.44,30080.16,30292.54,30292.54,7509378699,-0.004004616,-0.004004616
2023-07-09,30291.61,30427.59,30085.59,30171.23,30171.23,7903327692,0.008061985,0.008061985
2023-07-10,30172.42,31026.08,29985.39,30414.47,30414.47,14828209155,0.006788874,0.006788874
2023-07-11,30417.63,30788.31,30358.1,30620.95,30620.95,12151839152,-0.007488337,-0.007488337
2023-07-12,30622.25,30959.96,30228.84,30391.65,30391.65,14805659717,0.035680853,0.035680853
2023-07-13,30387.49,31814.52,30268.35,31476.05,31476.05,23686079548,-0.036280918,-0.036280918
2023-07-14,31474.72,31582.25,29966.39,30334.07,30334.07,20917902660,-0.001261288,-0.001261288
2023-07-15,30331.78,30407.78,30263.46,30295.81,30295.81,8011667756,-0.001540807,-0.001540807
2023-07-16,30297.47,30437.56,30089.67,30249.13,30249.13,8516564470,-0.003412991,-0.003412991
2023-07-17,30249.63,30336.4,29685.78,30145.89,30145.89,13240156074,-0.00959766,-0.00959766
2023-07-18,30147.07,30233.66,29556.43,29856.56,29856.56,13138897269,0.001921186,0.001921186
2023-07-19,29862.05,30184.18,29794.27,29913.92,29913.92,12128602812,-0.004075026,-0.004075026
2023-07-20,29915.25,30195.53,29638.1,29792.02,29792.02,14655207121,0.003917828,0.003917828
2023-07-21,29805.11,30046,29733.85,29908.74,29908.74,10972789818,-0.004578595,-0.004578595
2023-07-22,29908.7,29991.62,29664.12,29771.8,29771.8,7873300598,0.010504571,0.010504571
2023-07-23,29790.11,30330.64,29741.53,30084.54,30084.54,9220145050,-0.030168984,-0.030168984
2023-07-24,30081.66,30093.39,28934.29,29176.92,29176.92,15395817395,0.001729792,0.001729792
2023-07-25,29178.97,29353.16,29062.43,29227.39,29227.39,10266772793,0.004365084,0.004365084
2023-07-26,29225.76,29675.55,29113.91,29354.97,29354.97,13497554655,-0.004915011,-0.004915011
2023-07-27,29353.8,29560.97,29099.35,29210.69,29210.69,10770779217,0.003716448,0.003716448
2023-07-28,29212.16,29521.51,29125.85,29319.25,29319.25,11218474952,0.001284821,0.001284821
2023-07-29,29319.45,29396.84,29264.17,29356.92,29356.92,6481775959,-0.002779924,-0.002779924
2023-07-30,29357.09,29443.17,29059.5,29275.31,29275.31,8678454527,-0.001543963,-0.001543963
2023-07-31,29278.31,29489.87,29131.58,29230.11,29230.11,11656781982,0.015245239,0.015245239
2023-08-01,29230.87,29675.73,28657.02,29675.73,29675.73,18272392391,-0.017649776,-0.017649776
2023-08-02,29704.15,29988,28946.51,29151.96,29151.96,19212655598,0.000916576,0.000916576
2023-08-03,29161.81,29375.71,28959.49,29178.68,29178.68,12780357746,-0.003584466,-0.003584466
2023-08-04,29174.38,29302.08,28885.34,29074.09,29074.09,12036639988,-0.001099261,-0.001099261
2023-08-05,29075.39,29102.46,28957.8,29042.13,29042.13,6598366353,-9.29684E-06,-9.29684E-06
2023-08-06,29043.7,29160.82,28963.83,29041.86,29041.86,7269806994,0.004776554,0.004776554
2023-08-07,29038.51,29244.28,28724.14,29180.58,29180.58,13618163710,0.020044495,0.020044495
2023-08-08,29180.02,30176.8,29113.81,29765.49,29765.49,17570561357,-0.006853574,-0.006853574
2023-08-09,29766.7,30093.44,29376.8,29561.49,29561.49,18379521213,-0.004461886,-0.004461886
2023-08-10,29563.97,29688.56,29354.45,29429.59,29429.59,11865344789,-0.001083263,-0.001083263
2023-08-11,29424.9,29517.77,29253.52,29397.71,29397.71,10195168197,0.000620797,0.000620797
2023-08-12,29399.79,29465.11,29357.59,29415.96,29415.96,6194358008,-0.004523055,-0.004523055
2023-08-13,29416.59,29441.43,29265.81,29282.91,29282.91,7329897180,0.004286801,0.004286801
2023-08-14,29283.26,29660.25,29124.11,29408.44,29408.44,14013695304,-0.008095975,-0.008095975
2023-08-15,29408.05,29439.12,29088.85,29170.35,29170.35,12640195779,-0.016063229,-0.016063229
2023-08-16,29169.07,29221.98,28701.78,28701.78,28701.78,14949271904,-0.070979221,-0.070979221
2023-08-17,28699.8,28745.95,25409.11,26664.55,26664.55,31120851211,-0.023063956,-0.023063956
2023-08-18,26636.08,26808.2,25668.92,26049.56,26049.56,24026236529,0.001790817,0.001790817
2023-08-19,26047.83,26249.45,25802.41,26096.21,26096.21,10631443812,0.003577914,0.003577914
2023-08-20,26096.86,26260.68,26004.31,26189.58,26189.58,9036580420,-0.002498704,-0.002498704
2023-08-21,26188.69,26220.2,25846.09,26124.14,26124.14,13371557893,-0.003540021,-0.003540021
2023-08-22,26130.75,26135.51,25520.73,26031.66,26031.66,14503820706,0.015365136,0.015365136
2023-08-23,26040.47,26786.9,25805,26431.64,26431.64,16985265785,-0.010187412,-0.010187412
2023-08-24,26431.52,26554.91,25914.93,26162.37,26162.37,12871532023,-0.004384159,-0.004384159
2023-08-25,26163.68,26248.1,25786.81,26047.67,26047.67,12406045118,-0.001505317,-0.001505317
2023-08-26,26047.23,26107.38,25983.88,26008.46,26008.46,6034817316,0.003123215,0.003123215
2023-08-27,26008.24,26165.37,25965.1,26089.69,26089.69,6913768611,0.000630901,0.000630901
2023-08-28,26089.62,26198.58,25880.6,26106.15,26106.15,11002805166,0.062101842,0.062101842
2023-08-29,26102.49,28089.34,25912.63,27727.39,27727.39,29368391712,-0.015512459,-0.015512459
